instances,approach_3
0,7.140625
1000,62.0546875
2000,83.4921875
3000,87.0625
4000,87.0625
5000,87.0625
6000,94.328125
7000,87.0625
8000,87.0625
9000,87.0625
10000,87.0625
11000,87.0625
12000,87.0625
13000,87.0625
14000,104.9921875
15000,105.0859375
16000,105.0390625
17000,105.0859375
18000,105.0859375
19000,105.0859375
20000,105.0859375
21000,105.0859375
22000,105.0859375
23000,105.0859375
24000,97.8203125
25000,97.8203125
26000,108.53125
27000,115.75
28000,115.796875
29000,115.796875
30000,115.796875
31000,106.6328125
32000,119.2109375
33000,126.5234375
34000,126.5234375
35000,133.7890625
36000,133.7890625
37000,126.5234375
38000,141.0078125
39000,141.0546875
40000,135.328125
41000,135.328125
42000,144.5234375
43000,144.5234375
44000,144.5234375
45000,144.5234375
46000,155.28125
47000,155.28125
48000,155.28125
49000,155.28125
50000,155.28125
51000,158.6953125
52000,166.0078125
53000,166.0078125
54000,173.2265625
55000,176.71875
56000,176.71875
57000,183.9375
58000,176.71875
59000,174.7734375
60000,183.984375
61000,183.984375
62000,183.984375
63000,183.984375
64000,183.984375
65000,183.984375
66000,183.984375
67000,183.984375
68000,191.234375
69000,184.015625
70000,184.015625
71000,191.234375
72000,191.234375
73000,184.0703125
74000,191.3359375
75000,191.3359375
76000,191.2890625
77000,198.5546875
78000,194.703125
79000,212.6796875
80000,212.7265625
81000,205.5078125
82000,216.21875
83000,209.0
84000,209.0
85000,216.265625
86000,209.0
87000,216.265625
88000,216.265625
89000,223.484375
90000,216.265625
91000,216.3203125
92000,223.5859375
93000,223.5859375
94000,223.5859375
95000,230.8046875
96000,238.0234375
97000,230.8046875
98000,241.5078125
99000,241.5546875
100000,248.796875
101000,241.609375
102000,241.609375
103000,234.375
104000,234.375
105000,227.109375
106000,228.6484375
107000,246.625
108000,253.84375
109000,246.7265625
110000,246.7265625
111000,246.7265625
112000,246.7265625
113000,246.7265625
114000,246.7265625
115000,261.1875
116000,268.40625
117000,246.75
118000,253.96875
119000,261.28125
120000,252.0703125
121000,268.453125
122000,261.234375
123000,253.96875
124000,271.9609375
125000,282.6875
126000,273.5703125
127000,297.265625
128000,304.484375
129000,304.5078125
130000,297.3203125
131000,304.5390625
132000,322.53125
133000,315.3125
134000,316.828125
135000,325.9921875
136000,333.2109375
137000,325.9921875
138000,343.9609375
139000,358.4921875
140000,358.5390625
141000,361.953125
142000,365.4140625
143000,379.8984375
144000,379.8984375
145000,379.8984375
146000,379.8984375
147000,387.1640625
148000,379.8984375
149000,379.8984375
150000,379.8984375
