instances,approach_21
0,70.171875
1000,70.1015625
2000,70.1015625
3000,70.078125
4000,70.078125
5000,70.078125
6000,60.96875
7000,60.96875
8000,60.96875
9000,60.96875
10000,60.96875
11000,60.96875
12000,60.96875
13000,60.96875
14000,60.96875
15000,60.96875
16000,60.96875
17000,60.96875
18000,60.96875
19000,60.96875
20000,60.96875
21000,60.96875
22000,60.96875
23000,60.96875
24000,60.96875
25000,60.96875
26000,68.1875
27000,51.9140625
28000,51.9140625
29000,51.9140625
30000,51.9140625
31000,51.9140625
32000,51.9140625
33000,51.9140625
34000,51.9140625
35000,51.9140625
36000,51.9140625
37000,51.890625
38000,51.8671875
39000,51.8671875
40000,51.8671875
41000,51.8671875
42000,51.8671875
43000,51.8671875
44000,51.8671875
45000,51.8671875
46000,51.8671875
47000,51.8671875
48000,51.8671875
49000,51.8671875
50000,51.8671875
