instances,approach_20
0,54.2109375
1000,54.2109375
2000,110.1875
3000,153.6875
4000,110.1875
5000,110.1875
6000,110.1875
7000,110.1875
8000,110.1875
9000,110.1875
10000,110.1875
11000,110.1875
12000,110.1875
13000,110.1875
14000,110.1875
15000,137.9375
16000,119.96875
17000,119.96875
18000,137.96875
19000,138.0859375
20000,119.96875
21000,209.25
22000,165.890625
23000,170.9375
24000,193.703125
25000,175.7578125
26000,193.7578125
27000,175.7578125
28000,193.875
29000,211.9921875
30000,211.9921875
31000,255.515625
32000,255.4453125
33000,265.1640625
34000,249.40625
35000,249.4609375
36000,249.4921875
37000,249.4921875
38000,267.6328125
39000,267.75
40000,347.2578125
41000,357.265625
42000,410.25
43000,404.2890625
44000,450.2421875
45000,540.6640625
46000,540.921875
47000,522.8359375
48000,609.8125
49000,584.34375
50000,760.1328125
51000,351.2734375
52000,351.25
53000,351.2734375
54000,351.25
55000,128.359375
56000,183.96875
57000,248.1484375
58000,217.140625
59000,292.84375
60000,267.5078125
61000,267.5078125
62000,267.7421875
63000,267.765625
64000,267.6484375
65000,267.765625
66000,267.765625
67000,267.765625
68000,267.765625
69000,267.765625
70000,267.6484375
71000,267.765625
72000,267.765625
73000,267.765625
74000,267.765625
75000,267.765625
76000,267.765625
77000,267.765625
78000,267.765625
79000,267.765625
80000,267.765625
81000,267.765625
82000,267.765625
83000,267.765625
84000,285.7890625
85000,285.90625
86000,285.90625
87000,285.90625
88000,285.8203125
89000,285.9375
90000,295.6328125
91000,295.6328125
92000,305.328125
93000,305.328125
94000,305.328125
95000,305.328125
96000,305.328125
97000,305.328125
98000,305.328125
99000,305.328125
100000,305.328125
