instances,approach_10
0,7.140625
1000,228.734375
2000,220.515625
3000,311.5
4000,275.375
5000,275.375
6000,322.2578125
7000,322.2578125
8000,322.2578125
9000,322.2578125
10000,332.9140625
11000,332.9140625
12000,332.9140625
13000,332.9140625
14000,332.9140625
15000,332.9140625
16000,332.9140625
17000,332.9140625
18000,288.4375
19000,415.4140625
20000,415.609375
21000,488.3046875
22000,407.6015625
23000,654.140625
24000,620.3984375
25000,811.59375
26000,966.859375
27000,1190.0078125
28000,1227.59375
29000,1191.625
30000,1191.625
31000,1191.625
32000,1247.015625
33000,1247.484375
34000,1247.484375
35000,1247.484375
36000,1247.484375
37000,1247.484375
38000,1247.484375
39000,1247.484375
40000,1247.484375
41000,1247.484375
42000,1247.484375
43000,1247.484375
44000,1211.28125
45000,1211.28125
46000,1211.28125
47000,1211.28125
48000,1256.359375
49000,1221.6953125
50000,1221.6953125
