instances,approach_10
0,46.921875
1000,46.921875
2000,46.921875
3000,53.21875
4000,53.21875
5000,53.21875
6000,53.21875
7000,53.21875
8000,53.21875
9000,53.21875
10000,53.21875
11000,53.21875
12000,53.21875
13000,53.21875
14000,53.21875
15000,53.21875
16000,53.21875
17000,53.21875
18000,53.21875
19000,53.21875
20000,53.21875
21000,53.21875
22000,53.21875
23000,53.21875
24000,53.21875
25000,53.21875
26000,53.21875
27000,53.21875
28000,53.21875
29000,53.21875
30000,53.21875
31000,53.21875
32000,53.21875
33000,53.21875
34000,53.21875
35000,53.21875
36000,53.21875
37000,53.21875
38000,53.21875
39000,53.21875
40000,53.21875
41000,53.21875
42000,53.21875
43000,53.21875
44000,53.21875
45000,53.21875
46000,53.21875
47000,53.21875
48000,53.21875
49000,53.21875
50000,53.21875
51000,53.21875
52000,53.21875
53000,53.21875
54000,53.21875
55000,53.21875
56000,53.21875
57000,53.21875
58000,53.21875
59000,53.21875
60000,53.21875
61000,53.21875
62000,53.21875
63000,53.21875
64000,53.21875
65000,53.21875
66000,53.21875
67000,53.21875
68000,53.21875
69000,53.21875
70000,53.21875
71000,53.21875
72000,53.21875
73000,53.21875
74000,53.21875
75000,53.21875
76000,53.21875
77000,53.21875
78000,53.21875
79000,53.21875
80000,53.21875
81000,53.21875
82000,53.21875
83000,53.21875
84000,53.21875
85000,53.21875
86000,53.21875
87000,53.21875
88000,53.21875
89000,53.21875
90000,53.21875
91000,53.21875
92000,53.21875
93000,53.21875
94000,53.21875
95000,53.21875
96000,53.21875
97000,53.21875
98000,53.21875
99000,53.21875
100000,53.21875
101000,53.21875
102000,53.21875
103000,53.21875
104000,53.21875
105000,53.21875
106000,53.21875
107000,53.21875
108000,53.21875
109000,53.21875
110000,53.21875
111000,53.21875
112000,53.21875
113000,53.21875
114000,53.21875
115000,53.21875
116000,53.21875
117000,53.21875
118000,53.21875
119000,53.21875
120000,53.21875
121000,53.21875
122000,53.21875
123000,53.21875
124000,53.21875
125000,53.21875
126000,53.21875
127000,53.21875
128000,53.21875
129000,53.21875
130000,53.21875
131000,53.21875
132000,53.21875
133000,53.21875
134000,53.21875
135000,53.21875
136000,53.21875
137000,53.21875
138000,53.21875
139000,53.21875
140000,53.21875
141000,53.21875
142000,53.21875
143000,53.21875
144000,53.21875
145000,53.21875
146000,53.21875
147000,53.21875
148000,53.21875
149000,53.21875
150000,53.21875
