instances,approach_0
0,7.140625
1000,62.03125
2000,65.4921875
3000,65.4921875
4000,72.7109375
5000,72.7109375
6000,72.7109375
7000,83.4765625
8000,76.2109375
9000,76.2109375
10000,76.2109375
11000,83.4296875
12000,83.4296875
13000,76.2109375
14000,76.2109375
15000,90.6484375
16000,83.4296875
17000,94.2265625
18000,94.2265625
19000,94.2265625
20000,101.4453125
21000,94.2265625
22000,88.5234375
23000,104.90625
24000,115.5546875
25000,115.578125
26000,122.84375
27000,115.625
28000,122.84375
29000,122.890625
30000,115.671875
31000,126.3203125
32000,126.390625
33000,133.65625
34000,133.609375
35000,133.65625
36000,133.609375
37000,144.34375
38000,151.65625
39000,151.703125
40000,151.703125
41000,162.3984375
42000,162.3984375
43000,162.3984375
44000,162.3984375
45000,162.3984375
46000,165.7578125
47000,173.03125
48000,165.859375
49000,160.1015625
50000,160.1015625
51000,160.1015625
52000,160.1015625
53000,160.1015625
54000,167.3671875
55000,170.7734375
56000,185.234375
57000,179.6328125
58000,186.421875
59000,195.6875
60000,202.90625
61000,202.9296875
62000,202.9765625
63000,210.2421875
64000,210.2421875
65000,213.6484375
66000,220.8671875
67000,213.6484375
68000,220.9140625
69000,220.9140625
70000,220.9140625
71000,234.9921875
72000,235.1484375
73000,242.4140625
74000,260.3046875
75000,285.53125
76000,285.53125
77000,278.390625
78000,274.578125
79000,274.578125
80000,274.578125
81000,285.296875
82000,303.2109375
83000,313.953125
84000,321.2265625
85000,324.6328125
86000,318.921875
87000,331.4921875
88000,342.2109375
89000,352.8359375
90000,360.1484375
91000,360.1484375
92000,367.4140625
93000,374.65625
94000,367.46875
95000,374.6875
96000,367.46875
97000,378.1875
98000,378.1875
99000,378.1875
100000,378.1875
101000,378.1875
102000,378.1875
103000,378.1875
104000,378.1875
105000,378.1875
106000,378.1875
107000,388.8828125
108000,396.1953125
109000,402.9609375
110000,403.0078125
111000,410.2265625
112000,417.4921875
113000,417.5625
114000,417.5625
115000,424.8515625
116000,417.6171875
117000,424.8359375
118000,426.390625
119000,435.5546875
120000,442.8671875
121000,435.5546875
122000,460.7578125
123000,456.9921875
124000,464.2578125
125000,478.7890625
126000,489.5546875
127000,485.7734375
128000,500.2109375
129000,507.5546875
130000,493.0703125
131000,500.3125
132000,500.359375
133000,507.578125
134000,500.359375
135000,500.359375
136000,511.0625
137000,539.71875
138000,532.5546875
139000,557.7578125
140000,554.0234375
141000,561.2890625
142000,568.5546875
143000,575.7265625
144000,575.7265625
145000,582.9921875
146000,586.4453125
147000,593.7578125
148000,586.4921875
149000,586.4921875
150000,586.4921875
