instances,approach_0
0,46.921875
1000,46.921875
2000,71.3515625
3000,71.3515625
4000,95.484375
5000,95.515625
6000,95.515625
7000,77.515625
8000,95.6328125
9000,95.6328125
10000,113.6875
11000,101.765625
12000,101.765625
13000,119.8203125
14000,119.9375
15000,119.9375
16000,144.1640625
17000,144.1640625
18000,144.1640625
19000,144.1640625
20000,168.3828125
21000,168.3828125
22000,168.3828125
23000,174.4921875
24000,174.4921875
25000,174.4921875
26000,192.546875
27000,192.6640625
28000,192.6640625
29000,198.65625
30000,216.828125
31000,216.9453125
32000,216.9453125
33000,216.9453125
34000,216.9453125
35000,223.0546875
36000,223.0546875
37000,223.0546875
38000,223.109375
39000,241.2265625
40000,241.2265625
41000,241.2265625
42000,265.359375
43000,265.4765625
44000,265.4765625
45000,265.4765625
46000,265.4765625
47000,265.4765625
48000,271.6171875
49000,289.640625
50000,289.671875
51000,289.7890625
52000,289.7890625
53000,314.0390625
54000,314.0703125
55000,314.0703125
56000,314.0703125
57000,314.0703125
58000,314.0703125
59000,320.203125
60000,320.203125
61000,338.203125
62000,338.3203125
63000,338.3203125
64000,338.3203125
65000,344.4296875
66000,344.4296875
67000,344.4296875
68000,362.484375
69000,344.484375
70000,344.484375
71000,362.6015625
72000,368.7109375
73000,368.7109375
74000,368.7109375
75000,368.7109375
76000,386.765625
77000,386.8828125
78000,386.8828125
79000,392.9921875
80000,411.015625
81000,411.1328125
82000,411.1875
83000,429.3046875
84000,429.1875
85000,429.3046875
86000,453.5546875
87000,453.46875
88000,453.5859375
89000,453.5859375
90000,459.6640625
91000,459.6640625
92000,459.6640625
93000,459.6640625
94000,459.6640625
95000,459.6640625
96000,459.6640625
97000,459.6640625
98000,465.65625
99000,483.6796875
100000,465.7109375
101000,483.9453125
102000,465.828125
103000,483.828125
104000,501.8515625
105000,502.0859375
106000,483.96875
107000,501.96875
108000,502.0859375
109000,483.96875
110000,502.0859375
111000,483.96875
112000,483.96875
113000,502.0859375
114000,465.8828125
115000,465.8828125
116000,465.8828125
117000,484.0
118000,483.8828125
119000,483.8828125
120000,465.8828125
121000,465.8828125
122000,465.8828125
123000,465.8828125
124000,483.8828125
125000,465.8828125
126000,465.8828125
127000,465.8828125
128000,465.8828125
129000,465.8828125
130000,465.8828125
131000,484.0234375
132000,484.0234375
133000,484.0234375
134000,502.0234375
135000,484.0546875
136000,484.0546875
137000,490.1328125
138000,490.1328125
139000,490.1328125
140000,490.1328125
141000,490.1328125
142000,508.1875
143000,490.1875
144000,508.3046875
145000,508.3046875
146000,508.3046875
147000,490.1875
148000,508.3046875
149000,508.3046875
150000,508.3046875
