instances,approach_10
0,22.3828125
1000,22.3828125
2000,22.3828125
3000,26.0078125
4000,26.0078125
5000,26.0078125
6000,26.0078125
7000,26.0078125
8000,26.0078125
9000,26.0078125
10000,26.0078125
11000,26.0078125
12000,26.0078125
13000,26.0078125
14000,26.0078125
15000,26.0078125
16000,26.0078125
17000,26.0078125
18000,26.0078125
19000,26.0078125
20000,26.0078125
21000,26.0078125
22000,26.0078125
23000,26.0078125
24000,26.0078125
25000,26.0078125
26000,26.0078125
27000,26.0078125
28000,26.0078125
29000,26.0078125
30000,26.0078125
31000,26.0078125
32000,26.0078125
33000,26.0078125
34000,26.0078125
35000,26.0078125
36000,26.0078125
37000,17.7109375
38000,27.078125
39000,27.078125
40000,36.421875
41000,28.3984375
42000,54.1875
43000,54.1875
44000,61.4765625
45000,61.4765625
46000,68.7421875
47000,68.7421875
48000,68.6953125
49000,68.7421875
50000,68.7421875
