instances,approach_20
0,36.96875
1000,36.96875
2000,36.96875
3000,36.96875
4000,36.96875
5000,36.96875
6000,36.96875
7000,36.96875
8000,36.96875
9000,36.96875
10000,36.96875
11000,36.96875
12000,36.96875
13000,36.96875
14000,36.96875
15000,36.96875
16000,36.96875
17000,36.96875
18000,36.96875
19000,36.96875
20000,36.96875
21000,36.96875
22000,36.96875
23000,36.96875
24000,36.96875
25000,36.96875
26000,36.96875
27000,36.96875
28000,36.96875
29000,36.96875
30000,36.96875
31000,36.96875
32000,36.96875
33000,36.96875
34000,36.96875
35000,36.96875
36000,36.96875
37000,36.96875
38000,36.96875
39000,36.96875
40000,36.96875
41000,36.96875
42000,36.96875
43000,36.96875
44000,36.96875
45000,36.96875
46000,36.96875
47000,36.96875
48000,36.96875
49000,44.2109375
50000,37.0234375
51000,37.0234375
52000,37.0234375
53000,37.0234375
54000,37.0234375
55000,37.0234375
56000,37.0234375
57000,37.0234375
58000,37.0234375
59000,37.0234375
60000,37.0234375
61000,37.0234375
62000,37.0234375
63000,37.0234375
64000,37.0234375
65000,37.0234375
66000,37.0234375
67000,37.0234375
68000,37.0234375
69000,37.0234375
70000,44.2421875
71000,37.0234375
72000,37.0234375
73000,37.0234375
74000,37.0234375
75000,37.0234375
76000,37.0234375
77000,37.0234375
78000,37.0234375
79000,37.0234375
80000,37.0234375
81000,37.0234375
82000,37.0234375
83000,37.0234375
84000,37.0234375
85000,37.0234375
86000,37.0234375
87000,37.0234375
88000,37.0234375
89000,37.0234375
90000,37.0234375
91000,37.0234375
92000,37.0234375
93000,37.0234375
94000,37.0234375
95000,37.0234375
96000,37.0234375
97000,37.0234375
98000,37.0234375
99000,37.0234375
100000,37.0234375
