instances,approach_10
0,33.2890625
1000,44.03125
2000,58.2890625
3000,57.2109375
4000,83.1640625
5000,67.7265625
6000,93.7890625
7000,92.8125
8000,109.375
9000,125.8671875
10000,128.6328125
11000,165.25
12000,149.734375
13000,177.3203125
14000,170.921875
15000,203.1171875
16000,196.96875
17000,222.8046875
18000,224.296875
19000,242.7578125
20000,242.828125
21000,242.828125
22000,235.625
23000,235.65625
24000,235.65625
25000,228.4375
26000,228.4375
27000,228.4375
28000,228.4375
29000,228.4921875
30000,228.4921875
31000,228.4921875
32000,228.4921875
33000,228.4921875
34000,228.4921875
35000,228.4921875
36000,228.515625
37000,228.515625
38000,228.515625
39000,228.46875
40000,228.515625
41000,228.515625
42000,228.515625
43000,228.515625
44000,228.515625
45000,228.515625
46000,228.515625
47000,228.515625
48000,228.515625
49000,228.515625
50000,228.515625
