instances,approach_8
0,33.4296875
1000,37.015625
2000,37.015625
3000,48.25
4000,55.4921875
5000,55.953125
6000,48.75
7000,48.75
8000,55.96875
9000,48.8046875
10000,67.2734375
11000,78.1328125
12000,78.1875
13000,89.3984375
14000,89.3984375
15000,107.484375
16000,111.1171875
17000,118.34375
18000,118.390625
19000,118.4375
20000,136.1015625
21000,139.6953125
22000,162.25
23000,173.5234375
24000,147.84375
25000,147.84375
26000,155.484375
27000,155.4375
28000,177.59375
29000,170.375
30000,184.90625
31000,184.953125
32000,184.9765625
33000,186.6328125
34000,186.6328125
35000,186.6328125
36000,186.6328125
37000,193.8984375
38000,186.6328125
39000,186.6328125
40000,190.2109375
41000,190.1875
42000,201.0078125
43000,201.4765625
44000,194.2109375
45000,194.2109375
46000,194.2109375
47000,201.4765625
48000,195.890625
49000,195.890625
50000,195.890625
