instances,approach_8
0,33.4296875
1000,44.3046875
2000,44.3046875
3000,44.3046875
4000,44.3046875
5000,44.3046875
6000,44.3046875
7000,44.3046875
8000,44.3046875
9000,44.3046875
10000,47.859375
11000,47.859375
12000,47.859375
13000,55.1328125
14000,55.1328125
15000,47.9453125
16000,47.9453125
17000,62.40625
18000,55.1875
19000,47.96875
20000,55.140625
21000,55.234375
22000,44.7734375
23000,62.9453125
24000,62.9453125
25000,55.6796875
26000,62.9453125
27000,74.2109375
28000,74.2109375
29000,85.5078125
30000,85.53125
31000,85.6015625
32000,85.6015625
33000,89.234375
34000,89.234375
35000,89.1875
36000,96.78125
37000,108.078125
38000,110.140625
39000,103.0546875
40000,166.578125
41000,184.3671875
42000,195.0703125
43000,199.140625
44000,199.515625
45000,199.515625
46000,199.5390625
47000,207.21875
48000,207.21875
49000,210.7421875
50000,210.7421875
