instances,approach_21
0,177.4921875
1000,289.375
2000,289.0234375
3000,288.9296875
4000,288.9296875
5000,288.90625
6000,288.90625
7000,288.90625
8000,288.90625
9000,288.90625
10000,288.90625
11000,288.90625
12000,288.90625
13000,288.90625
14000,288.90625
15000,288.90625
16000,288.90625
17000,288.90625
18000,288.90625
19000,288.90625
20000,288.90625
21000,288.90625
22000,288.90625
23000,288.90625
24000,288.90625
25000,288.90625
26000,288.90625
27000,288.90625
28000,288.90625
29000,288.90625
30000,288.90625
31000,288.90625
32000,288.90625
33000,288.90625
34000,266.34375
35000,266.34375
36000,266.34375
37000,266.34375
38000,266.34375
39000,266.34375
40000,266.34375
41000,266.34375
42000,266.34375
43000,266.34375
44000,266.34375
45000,243.8359375
46000,243.8359375
47000,243.8359375
48000,243.8359375
49000,243.8359375
50000,243.8359375
51000,243.8359375
52000,243.8359375
53000,243.8359375
54000,243.8359375
55000,243.8359375
56000,243.8359375
57000,243.8359375
58000,243.8359375
59000,243.8359375
60000,243.8359375
61000,243.8359375
62000,243.8359375
63000,243.8359375
64000,243.8359375
65000,243.8359375
66000,243.8359375
67000,243.8359375
68000,243.8359375
69000,243.8125
70000,243.8125
71000,243.8125
72000,243.8125
73000,243.8125
74000,243.8125
75000,243.8125
76000,243.8125
77000,243.8125
78000,243.8125
79000,243.8125
80000,243.8125
81000,243.8125
82000,243.8125
83000,243.8125
84000,243.8125
85000,243.8125
86000,243.8125
87000,243.8125
88000,243.8125
89000,243.8125
90000,243.8125
91000,243.8125
92000,243.8125
93000,243.8125
94000,243.8125
95000,243.8125
96000,243.8125
97000,243.8125
98000,243.8125
99000,243.8125
100000,243.8125
101000,243.8125
102000,243.8125
103000,243.8125
104000,243.8125
105000,243.8125
106000,243.8125
107000,243.8125
108000,243.8125
109000,243.8125
110000,243.8125
111000,243.8125
112000,243.8125
113000,243.8125
114000,243.8125
115000,243.8125
116000,243.8125
117000,243.8125
118000,243.8125
119000,243.8125
120000,243.7890625
121000,243.7890625
122000,243.7890625
123000,243.7890625
124000,243.7890625
125000,243.7890625
126000,243.7890625
127000,243.7890625
128000,243.7890625
129000,243.7890625
130000,243.7890625
131000,242.8671875
132000,289.5390625
133000,289.421875
134000,289.375
135000,289.3515625
136000,289.8203125
137000,289.5859375
138000,289.5390625
139000,285.0
140000,244.46875
141000,244.46875
142000,244.46875
143000,244.46875
144000,244.4453125
145000,244.3984375
146000,244.3984375
147000,244.3984375
148000,244.3984375
149000,244.3984375
150000,244.3984375
