instances,approach_21
0,104.8203125
1000,104.6796875
2000,88.3046875
3000,79.203125
4000,70.03125
5000,70.03125
6000,70.03125
7000,70.03125
8000,70.03125
9000,70.03125
10000,70.03125
11000,50.21875
12000,97.796875
13000,106.7578125
14000,115.7578125
15000,122.90625
16000,122.90625
17000,122.90625
18000,122.90625
19000,104.8671875
20000,124.9375
21000,115.734375
22000,115.7109375
23000,115.7109375
24000,122.9296875
25000,106.5625
26000,106.5625
27000,106.5625
28000,106.5625
29000,106.5859375
30000,106.5859375
31000,106.5859375
32000,106.5390625
33000,106.4921875
34000,106.4921875
35000,106.4921875
36000,106.4921875
37000,106.4921875
38000,106.4921875
39000,123.046875
40000,106.53125
41000,106.5078125
42000,113.7265625
43000,113.7265625
44000,97.3828125
45000,97.3828125
46000,139.3984375
47000,139.3125
48000,194.140625
49000,194.0234375
50000,194.0
51000,177.578125
52000,177.5546875
53000,177.5546875
54000,177.5546875
55000,177.5546875
56000,177.5546875
57000,177.5546875
58000,177.5546875
59000,177.5546875
60000,177.5546875
61000,177.5546875
62000,177.5546875
63000,177.6015625
64000,175.90625
65000,212.515625
66000,196.0
67000,195.9765625
68000,186.828125
69000,216.1328125
70000,206.9609375
71000,206.890625
72000,206.890625
73000,206.890625
74000,206.8671875
75000,206.890625
76000,197.765625
77000,197.765625
78000,197.7890625
79000,197.765625
80000,197.765625
81000,197.765625
82000,197.765625
83000,165.046875
84000,232.625
85000,252.5234375
86000,250.6015625
87000,259.765625
88000,259.765625
89000,259.71875
90000,259.71875
91000,259.6953125
92000,259.6953125
93000,259.6953125
94000,259.6953125
95000,259.6953125
96000,259.6953125
97000,250.5703125
98000,250.5703125
99000,223.3515625
100000,243.515625
101000,259.8515625
102000,261.765625
103000,279.984375
104000,279.9609375
105000,279.9140625
106000,279.9140625
107000,279.9140625
108000,243.625
109000,272.96875
110000,272.9453125
111000,307.5390625
112000,298.265625
113000,280.234375
114000,300.2265625
115000,290.953125
116000,290.953125
117000,272.8828125
118000,283.875
119000,283.828125
120000,283.828125
121000,292.9453125
122000,292.9921875
123000,300.1875
124000,298.2734375
125000,298.3203125
126000,291.2265625
127000,316.875
128000,291.203125
129000,291.15625
130000,316.921875
131000,344.1796875
132000,336.84375
133000,334.859375
134000,263.859375
135000,280.3046875
136000,298.515625
137000,291.1953125
138000,291.1953125
139000,309.4453125
140000,323.78125
141000,323.7578125
142000,314.65625
143000,314.65625
144000,314.65625
145000,323.9140625
146000,331.109375
147000,314.8046875
148000,305.578125
149000,305.578125
150000,305.578125
