instances,approach_22
0,29.671875
1000,29.671875
2000,58.6171875
3000,58.6171875
4000,58.671875
5000,58.671875
6000,94.5859375
7000,116.1015625
8000,123.0859375
9000,130.3515625
10000,123.1328125
11000,123.1328125
12000,130.3515625
13000,123.1328125
14000,123.0859375
15000,123.1328125
16000,123.1328125
17000,123.1328125
18000,123.1328125
19000,123.1328125
20000,123.1328125
21000,123.1328125
22000,123.1328125
23000,123.1328125
24000,123.1328125
25000,123.1328125
26000,123.1328125
27000,123.1328125
28000,123.1328125
29000,123.1328125
30000,123.1328125
31000,123.1328125
32000,130.375
33000,130.40625
34000,130.40625
35000,130.4296875
36000,137.6953125
37000,144.7890625
38000,144.7890625
39000,137.5703125
40000,137.5703125
41000,137.5703125
42000,137.5703125
43000,144.8125
44000,144.8125
45000,137.625
46000,137.625
47000,137.625
48000,144.84375
49000,137.625
50000,137.625
