instances,approach_10
0,22.3828125
1000,22.3828125
2000,22.3828125
3000,44.0546875
4000,65.5703125
5000,68.96875
6000,69.015625
7000,69.015625
8000,76.28125
9000,76.234375
10000,69.015625
11000,76.234375
12000,69.015625
13000,69.015625
14000,69.015625
15000,69.015625
16000,76.234375
17000,83.5
18000,76.28125
19000,76.28125
20000,83.546875
21000,76.28125
22000,83.5234375
23000,69.0703125
24000,76.2890625
25000,69.0703125
26000,83.5078125
27000,83.6015625
28000,94.1640625
29000,101.5234375
30000,101.4765625
31000,101.5234375
32000,105.0078125
33000,103.9296875
34000,122.6171875
35000,122.6171875
36000,122.6640625
37000,115.421875
38000,115.421875
39000,122.6875
40000,140.6328125
41000,125.09375
42000,151.0703125
43000,158.2890625
44000,158.0625
45000,179.90625
46000,178.7578125
47000,190.359375
48000,190.3125
49000,190.359375
50000,190.359375
