instances,approach_0
0,46.921875
1000,46.921875
2000,46.921875
3000,71.3515625
4000,77.4609375
5000,77.4609375
6000,77.4609375
7000,77.4609375
8000,77.4609375
9000,77.4609375
10000,77.4609375
11000,77.4609375
12000,77.4609375
13000,77.4609375
14000,77.4609375
15000,77.4609375
16000,77.4609375
17000,77.4609375
18000,77.4609375
19000,77.4609375
20000,77.4609375
21000,77.4609375
22000,77.4609375
23000,77.4609375
24000,77.4609375
25000,77.4609375
26000,77.4609375
27000,77.515625
28000,77.515625
29000,77.515625
30000,77.515625
31000,77.515625
32000,95.515625
33000,95.6328125
34000,77.515625
35000,95.515625
36000,95.515625
37000,95.6328125
38000,77.515625
39000,95.6328125
40000,77.515625
41000,95.6328125
42000,95.6328125
43000,95.6328125
44000,95.6328125
45000,95.515625
46000,95.6328125
47000,95.6328125
48000,101.625
49000,101.7421875
50000,101.7421875
