instances,approach_3
0,87.90625
1000,87.90625
2000,87.90625
3000,134.96875
4000,145.625
5000,136.625
6000,264.7890625
7000,337.5078125
8000,337.5078125
9000,337.5078125
10000,337.5078125
11000,337.5078125
12000,337.5078125
13000,348.1640625
14000,348.1640625
15000,313.46875
16000,313.46875
17000,313.46875
18000,369.2265625
19000,369.4609375
20000,334.765625
21000,334.765625
22000,334.765625
23000,334.765625
24000,334.765625
25000,334.765625
26000,334.765625
27000,334.765625
28000,334.765625
29000,334.765625
30000,334.765625
31000,334.765625
32000,334.765625
33000,334.765625
34000,334.765625
35000,334.765625
36000,334.765625
37000,334.765625
38000,334.765625
39000,334.765625
40000,334.765625
41000,334.765625
42000,334.765625
43000,334.765625
44000,334.765625
45000,336.3046875
46000,336.3046875
47000,336.3046875
48000,336.3046875
49000,372.5625
50000,372.5625
