instances,approach_22
0,29.671875
1000,29.671875
2000,58.6171875
3000,80.2578125
4000,80.2578125
5000,87.2890625
6000,87.2890625
7000,87.2890625
8000,123.15625
9000,108.75
10000,108.75
11000,106.8828125
12000,116.0
13000,123.1015625
14000,130.421875
15000,152.0
16000,159.265625
17000,144.78125
18000,166.5078125
19000,166.609375
20000,174.0
21000,173.7578125
22000,187.859375
23000,195.25
24000,202.46875
25000,202.46875
26000,209.734375
27000,217.0234375
28000,231.3515625
29000,231.1953125
30000,238.53125
31000,238.484375
32000,231.265625
33000,238.296875
34000,238.3203125
35000,238.3203125
36000,245.5390625
37000,245.5390625
38000,245.5859375
39000,259.8828125
40000,252.6640625
41000,252.6640625
42000,252.6640625
43000,259.8828125
44000,252.6640625
45000,252.71875
46000,259.9375
47000,279.1328125
48000,271.796875
49000,264.53125
50000,264.53125
