instances,approach_23
0,22.484375
1000,77.5703125
2000,132.3046875
3000,152.3828125
4000,152.2890625
5000,152.2421875
6000,152.2421875
7000,152.21875
8000,159.4140625
9000,143.015625
10000,143.015625
11000,143.015625
12000,143.015625
13000,143.015625
14000,143.015625
15000,150.234375
16000,133.890625
17000,133.890625
18000,133.890625
19000,133.890625
20000,133.890625
21000,133.890625
22000,133.890625
23000,133.890625
24000,133.890625
25000,133.890625
26000,133.890625
27000,133.890625
28000,133.890625
29000,133.890625
30000,133.890625
31000,133.890625
32000,133.890625
33000,133.890625
34000,133.890625
35000,133.890625
36000,133.890625
37000,133.890625
38000,133.890625
39000,133.890625
40000,133.890625
41000,133.890625
42000,133.890625
43000,133.890625
44000,133.890625
45000,133.8671875
46000,133.8671875
47000,133.8671875
48000,133.8671875
49000,133.8671875
50000,133.8671875
