seed,dimension,n_class,n_cluster_per_class,ratio_affected,scenario_type,approach,pre_accuracy_global,precision_macro,recall_macro,f1_macro,memory_global,execution_time,num_degradations,degradations_per_100_windows,fraction_degraded,avg_recovery_time
2,2,2,1,1.0,1,0,0.8133939393939394,0.817609251056785,0.815499410426062,0.814989138755918,145.9921875,3.147114992141724,1.0,1.0101010101010102,0.3232323232323232,32.0
2,5,2,3,0.5,0,0,0.9967070707070708,0.9967173453008558,0.9967247702843968,0.9967198951290136,77.515625,3.239520072937012,0.0,0.0,0.0,0.0
2,10,2,4,1.0,3,0,0.957939393939394,0.9603187668575612,0.9583150041901378,0.9582927493611768,192.515625,3.844618797302246,1.0,1.0101010101010102,0.0202020202020202,2.0
3,5,2,1,1.0,1,0,0.8047474747474748,0.8211451889709387,0.8061925138956982,0.804300316269648,375.96875,3.803999662399292,7.0,7.07070707070707,0.3939393939393939,5.571428571428571
3,5,2,3,0.5,0,0,0.9929966555183948,0.9930249880294684,0.9930059777407052,0.9930130244883248,126.0703125,10.06922698020935,2.0,0.6688963210702341,0.0100334448160535,1.5
4,5,2,4,0.5,2,0,0.9727474747474748,0.9731083719494722,0.972944238962192,0.972858274848303,126.1328125,3.156946182250977,0.0,0.0,0.0,0.0
3,10,2,4,0.5,1,0,0.8329696969696971,0.8346166401990246,0.8346165277632746,0.8346165756346346,771.671875,5.624313831329346,4.0,4.040404040404041,0.6868686868686869,17.0
2,10,2,3,0.5,2,0,0.99789898989899,0.9978996784832094,0.9979002584628124,0.9978999489131356,98.734375,3.3780534267425537,0.0,0.0,0.0,0.0
2,2,2,1,0.5,1,0,0.8133939393939394,0.817609251056785,0.815499410426062,0.814989138755918,145.9921875,2.9356963634490967,1.0,1.0101010101010102,0.3232323232323232,32.0
2,2,2,3,1.0,2,0,0.9476767676767676,0.947933465574326,0.9475932938588344,0.9476439637583588,245.0703125,3.1917970180511475,0.0,0.0,0.0,0.0
4,2,2,3,0.5,2,0,0.9655151515151515,0.967016756161554,0.9656061959099058,0.9658022092080144,194.140625,3.170356273651123,0.0,0.0,0.0,0.0
3,5,2,1,1.0,0,0,0.9791973244147156,0.9792929788383722,0.9792447087697038,0.9792586041196412,103.359375,10.265580415725708,2.0,0.6688963210702341,0.020066889632107,3.0
2,10,2,3,1.0,1,0,0.8455353535353535,0.8600240165307284,0.8454116390748119,0.8437632065589302,733.78125,4.677384614944458,5.0,5.05050505050505,0.5151515151515151,10.2
3,2,2,4,1.0,0,0,0.9739264214046824,0.9740402682071232,0.9739967708005138,0.974011311718702,516.703125,11.410526037216188,6.0,2.0066889632107023,0.0367892976588628,1.8333333333333333
3,10,2,4,1.0,0,0,0.9895852842809364,0.989606703942368,0.989606958106181,0.9896065966382196,322.609375,11.198021650314333,2.0,0.6688963210702341,0.0066889632107023,1.0
4,10,2,4,1.0,0,0,0.9833244147157192,0.9837392658506426,0.9833629876655524,0.9833698090397698,286.2890625,12.345728397369385,1.0,0.334448160535117,0.0769230769230769,23.0
2,2,2,4,0.5,2,0,0.9806868686868688,0.9803154287377258,0.9803406765016652,0.980319228813238,90.9140625,2.9418656826019287,0.0,0.0,0.0,0.0
2,5,2,1,1.0,1,0,0.881010101010101,0.884419840944681,0.8820053178007183,0.8819698264065845,368.3359375,4.050766944885254,4.0,4.040404040404041,0.1717171717171717,4.25
2,2,2,1,1.0,2,0,0.9583232323232324,0.959179576212354,0.9585907286584842,0.9586609770547428,69.078125,3.274620294570923,0.0,0.0,0.0,0.0
4,2,2,2,0.5,1,0,0.8436969696969696,0.8552114178066401,0.844410857405289,0.8436279810706102,227.3203125,3.304666519165039,2.0,2.0202020202020203,0.5454545454545454,27.0
4,10,2,2,0.5,1,0,0.8908888888888888,0.8937802825847496,0.8919327077738886,0.8918281852478696,535.453125,4.2260565757751465,4.0,4.040404040404041,0.2727272727272727,6.75
2,5,2,1,0.5,2,0,0.960949494949495,0.9635941076950172,0.9611640597070557,0.96126168483925,77.546875,3.41400146484375,1.0,1.0101010101010102,0.0101010101010101,1.0
3,2,2,1,1.0,0,0,0.9838595317725752,0.9839130286816568,0.9839123581409356,0.9839126898688132,58.328125,8.910115957260132,3.0,1.0033444816053512,0.0133779264214046,1.3333333333333333
3,2,2,2,0.5,1,0,0.9055151515151514,0.9074949970829422,0.9063172537751992,0.9063745356561036,135.28125,3.109144687652588,3.0,3.0303030303030303,0.1818181818181818,6.0
3,10,2,4,0.5,3,0,0.9708080808080808,0.9711627884668408,0.971074610356441,0.9710779138660486,322.3671875,4.177343845367432,1.0,1.0101010101010102,0.0606060606060606,6.0
4,10,2,1,1.0,0,0,0.9884615384615384,0.9886403553498492,0.9884868516913612,0.9884922726881888,98.734375,10.27311944961548,0.0,0.0,0.0,0.0
3,5,2,2,0.5,3,0,0.996929292929293,0.9969448899148322,0.9969361526965383,0.9969398508783988,53.265625,2.99104905128479,0.0,0.0,0.0,0.0
4,5,2,1,1.0,0,0,0.9845217391304346,0.9846614985978484,0.9845389532130298,0.9845648468685028,174.671875,10.609666109085085,2.0,0.6688963210702341,0.0066889632107023,1.0
3,5,2,4,0.5,1,0,0.9016969696969696,0.902872418668592,0.902584831549742,0.9026136786777372,454.59375,4.436713933944702,4.0,4.040404040404041,0.2828282828282828,7.0
2,5,2,2,0.5,2,0,0.9942020202020202,0.994240216753376,0.994261353005302,0.9942398250715092,77.6015625,2.958407402038574,0.0,0.0,0.0,0.0
3,2,2,3,0.5,1,0,0.9233131313131312,0.9255775072381168,0.9238163030742832,0.9235522113809485,135.40625,2.966453313827514,1.0,1.0101010101010102,0.1818181818181818,18.0
2,5,2,1,0.5,0,0,0.9651919191919192,0.9672962120532596,0.965383299440239,0.9654785998938372,53.2109375,4.069448471069336,1.0,1.0101010101010102,0.0101010101010101,1.0
4,2,2,2,0.5,2,0,0.993030303030303,0.9930449017145716,0.9930710710656572,0.9930397939069598,44.046875,2.9026780128479004,0.0,0.0,0.0,0.0
