seed,dimension,n_class,n_cluster_per_class,ratio_affected,scenario_type,approach,pre_accuracy_global,precision_macro,recall_macro,f1_macro,memory_global,execution_time,num_degradations,degradations_per_100_windows,fraction_degraded,avg_recovery_time
3,2,2,2,1.0,3,21,0.8727070707070707,0.8945633708386018,0.8697838054801457,0.8670630678759965,61.15625,4.602755784988403,2.0,2.0202020202020203,0.3232323232323232,16.0
2,5,2,1,1.0,3,21,0.997959595959596,0.9979590961843888,0.9979608252031684,0.9979599207715306,94.046875,4.7605578899383545,0.0,0.0,0.0,0.0
3,5,2,2,0.5,3,23,0.997919191919192,0.9979192461157794,0.9979206419676144,0.997919918492456,71.5625,6.159196376800537,0.0,0.0,0.0,0.0
4,5,2,2,1.0,3,23,0.997959595959596,0.9979590961843888,0.9979608252031684,0.9979599207715306,94.125,6.477931022644043,0.0,0.0,0.0,0.0
3,5,2,4,0.5,2,20,0.969111111111111,0.9702824939595436,0.9690936538446412,0.9692141669676988,193.8671875,8.53952169418335,0.0,0.0,0.0,0.0
4,2,2,4,0.5,1,20,0.9286868686868688,0.9296466984334434,0.9292661757333724,0.9293156841372998,380.0,9.97909426689148,2.0,2.0202020202020203,0.1313131313131313,6.5
2,2,2,3,1.0,3,20,0.9234343434343432,0.9249029254584882,0.9240646338756836,0.924130148170556,252.984375,11.441118717193604,1.0,1.0101010101010102,0.0808080808080808,8.0
4,2,2,2,0.5,0,21,0.980494983277592,0.9810987060421869,0.980471094060547,0.9805511786127477,72.03125,12.186667919158936,5.0,1.6722408026755853,0.0568561872909698,3.4
4,10,2,1,1.0,2,21,0.997939393939394,0.9979411783765544,0.997939498852448,0.9979399549887644,134.9296875,6.410460472106934,0.0,0.0,0.0,0.0
2,10,2,2,0.5,3,21,0.997939393939394,0.9979411783765544,0.997939498852448,0.9979399549887644,308.5234375,9.09334659576416,0.0,0.0,0.0,0.0
2,10,2,4,0.5,0,23,0.9966868686868688,0.9967029387502266,0.996699147759684,0.9966999233060038,217.8671875,12.87998652458191,0.0,0.0,0.0,0.0
3,2,2,2,1.0,1,22,0.9134141414141412,0.9146953046657412,0.9143728633231132,0.914267182344476,315.515625,12.499519348144531,2.0,2.0202020202020203,0.1414141414141414,7.0
3,2,2,4,0.5,2,22,0.9465858585858588,0.9485494261973932,0.9473185146961722,0.947071522999464,216.671875,15.231011390686035,0.0,0.0,0.0,0.0
4,5,2,1,1.0,1,21,0.8638181818181818,0.8641270238986283,0.8634030150928285,0.8634140718008341,206.609375,5.542288541793823,4.0,4.040404040404041,0.2424242424242424,6.0
4,5,2,4,0.5,3,21,0.991959595959596,0.9920287163789931,0.9920137735452312,0.992019568208506,266.859375,10.286269187927246,1.0,1.0101010101010102,0.0303030303030303,3.0
2,2,2,1,0.5,1,20,0.9403838383838384,0.9412498008134068,0.9409127151863588,0.9409618370654504,73.078125,7.143442869186401,2.0,2.0202020202020203,0.101010101010101,5.0
2,5,2,4,0.5,1,23,0.908222222222222,0.9107382648864526,0.90926305072462,0.9090479893062636,268.8125,15.443379878997805,5.0,5.05050505050505,0.4141414141414141,8.2
2,10,2,4,0.5,2,21,0.9956767676767676,0.9957185014279216,0.9957222992235152,0.9957198841126886,518.5078125,16.826022624969482,0.0,0.0,0.0,0.0
2,5,2,1,1.0,1,20,0.927979797979798,0.9294065062013016,0.9285877508178824,0.9286367095913236,211.9140625,8.892616033554077,2.0,2.0202020202020203,0.1111111111111111,5.5
4,2,2,3,0.5,3,22,0.9735353535353536,0.973942470765591,0.973839846060905,0.973778809502676,166.453125,13.126122951507568,1.0,1.0101010101010102,0.0303030303030303,3.0
4,10,2,4,0.5,1,23,0.9172727272727274,0.9215123389274832,0.9181118252638012,0.9179155148997078,391.046875,19.718208074569706,4.0,4.040404040404041,0.3535353535353535,8.75
4,10,2,2,0.5,2,23,0.997878787878788,0.99789929301489,0.9979006776444472,0.9978999370279324,134.9375,9.703948259353638,0.0,0.0,0.0,0.0
3,10,2,2,1.0,1,21,0.9363434343434344,0.9375904747684344,0.9369447624866736,0.9369345604064464,436.21875,10.909893989562988,3.0,3.0303030303030303,0.1717171717171717,5.666666666666667
2,10,2,1,0.5,1,21,0.8368282828282828,0.8336396632894276,0.830782556306467,0.8304477763902012,401.0234375,8.170063734054565,8.0,8.080808080808081,0.2929292929292929,3.625
4,5,2,4,1.0,1,21,0.8588686868686869,0.8699208518015316,0.8597072814899798,0.8590496685537841,284.7421875,14.952330112457275,8.0,8.080808080808081,0.3636363636363636,4.5
2,10,2,1,0.5,1,23,0.8368686868686868,0.8336800096151413,0.8308225571283885,0.8304878643967292,401.046875,10.633872032165527,8.0,8.080808080808081,0.2929292929292929,3.625
3,10,2,1,1.0,0,23,0.9993177257525084,0.9993135689355296,0.9993131726747728,0.9993133281226798,134.984375,21.376482486724854,0.0,0.0,0.0,0.0
2,5,2,3,0.5,0,21,0.9967070707070708,0.9967174883627152,0.996726223172458,0.9967199020569408,114.046875,7.174527645111084,0.0,0.0,0.0,0.0
3,10,2,1,0.5,0,23,0.9993177257525084,0.9993135689355296,0.9993131726747728,0.9993133281226798,134.984375,21.29716420173645,0.0,0.0,0.0,0.0
2,2,2,4,0.5,2,23,0.9607676767676768,0.9627156548906896,0.9601058090351446,0.9602910791832716,132.015625,9.03696870803833,0.0,0.0,0.0,0.0
