instances,approach_10
0,22.3828125
1000,22.3828125
2000,22.3828125
3000,33.296875
4000,36.7421875
5000,36.7421875
6000,36.7421875
7000,36.7421875
8000,36.7421875
9000,36.7421875
10000,36.7421875
11000,36.7421875
12000,36.7421875
13000,36.7421875
14000,36.7421875
15000,36.7421875
16000,36.7421875
17000,36.7421875
18000,36.7421875
19000,36.8515625
20000,51.2890625
21000,51.3359375
22000,51.3828125
23000,51.3828125
24000,87.3984375
25000,56.2265625
26000,122.7578125
27000,122.8046875
28000,122.828125
29000,91.6796875
30000,136.296875
31000,136.3203125
32000,136.3203125
33000,136.3203125
34000,139.7890625
35000,139.7890625
36000,139.7890625
37000,139.7890625
38000,139.7890625
39000,139.7890625
40000,139.7890625
41000,139.7890625
42000,139.7890625
43000,139.7890625
44000,139.7890625
45000,139.7890625
46000,139.7890625
47000,139.7890625
48000,139.7890625
49000,139.7890625
50000,139.7890625
