instances,approach_3
0,98.734375
1000,98.7421875
2000,171.2265625
3000,171.2265625
4000,171.2265625
5000,171.2265625
6000,192.5078125
7000,228.734375
8000,228.734375
9000,228.734375
10000,228.734375
11000,228.734375
12000,228.734375
13000,228.734375
14000,228.734375
15000,194.0703125
16000,194.0703125
17000,194.0703125
18000,194.0703125
19000,194.0703125
20000,194.0703125
21000,194.0703125
22000,194.0703125
23000,194.0703125
24000,194.0703125
25000,194.0703125
26000,194.0703125
27000,194.0703125
28000,194.0703125
29000,194.0703125
30000,194.0703125
31000,194.0703125
32000,194.0703125
33000,194.0703125
34000,194.0703125
35000,194.0703125
36000,194.0703125
37000,194.0703125
38000,194.0703125
39000,194.0703125
40000,194.0703125
41000,194.0703125
42000,194.0703125
43000,194.0703125
44000,194.0703125
45000,194.0703125
46000,194.0703125
47000,194.0703125
48000,194.0703125
49000,194.0703125
50000,194.0703125
