instances,approach_20
0,29.671875
1000,44.2578125
2000,58.6015625
3000,79.9921875
4000,79.9921875
5000,80.046875
6000,87.3359375
7000,87.3359375
8000,94.5546875
9000,87.3359375
10000,87.3359375
11000,87.3359375
12000,85.2265625
13000,108.875
14000,116.140625
15000,116.1875
16000,92.5390625
17000,101.703125
18000,92.5390625
19000,101.703125
20000,101.703125
21000,116.140625
22000,101.703125
23000,108.96875
24000,108.96875
25000,116.234375
26000,116.234375
27000,142.484375
28000,94.6015625
29000,101.8671875
30000,101.8671875
31000,101.8671875
32000,101.8203125
33000,101.8671875
34000,72.9140625
35000,80.203125
36000,80.203125
37000,80.203125
38000,80.203125
39000,80.203125
40000,118.53125
41000,101.8359375
42000,145.0390625
43000,152.046875
44000,164.484375
45000,188.2734375
46000,209.8125
47000,209.90625
48000,248.203125
49000,248.1875
50000,248.1171875
51000,305.171875
52000,29.828125
53000,29.828125
54000,29.828125
55000,51.671875
56000,66.015625
57000,87.5703125
58000,87.6171875
59000,94.890625
60000,116.5703125
61000,116.5234375
62000,123.515625
63000,137.9296875
64000,164.34375
65000,145.1640625
66000,145.1640625
67000,145.1640625
68000,152.2109375
69000,152.234375
70000,152.234375
71000,159.4765625
72000,159.4765625
73000,159.5078125
74000,166.578125
75000,166.625
76000,159.359375
77000,166.625
78000,173.796875
79000,166.625
80000,166.625
81000,173.890625
82000,173.890625
83000,166.625
84000,166.625
85000,166.625
86000,173.890625
87000,180.9140625
88000,173.6484375
89000,164.484375
90000,180.8671875
91000,173.6484375
92000,180.9140625
93000,180.9140625
94000,180.9140625
95000,180.9140625
96000,180.9140625
97000,178.7734375
98000,171.5078125
99000,171.5078125
100000,171.5078125
