instances,approach_3
0,33.2890625
1000,47.5234375
2000,72.7890625
3000,72.7890625
4000,72.7890625
5000,72.7890625
6000,67.0625
7000,67.0625
8000,67.0625
9000,76.2578125
10000,76.2578125
11000,79.671875
12000,79.671875
13000,79.671875
14000,79.671875
15000,79.671875
16000,79.671875
17000,79.671875
18000,79.671875
19000,94.2265625
20000,86.9921875
21000,86.9921875
22000,94.2578125
23000,94.2578125
24000,130.2734375
25000,130.2734375
26000,137.515625
27000,137.5625
28000,137.5625
29000,137.5625
30000,140.9453125
31000,148.2109375
32000,148.2109375
33000,148.2578125
34000,146.0703125
35000,146.0703125
36000,153.359375
37000,153.359375
38000,153.359375
39000,153.359375
40000,153.359375
41000,156.8203125
42000,156.8203125
43000,156.8203125
44000,156.8203125
45000,156.8203125
46000,156.8203125
47000,156.8203125
48000,156.8203125
49000,156.8203125
50000,156.8203125
