instances,approach_10
0,98.734375
1000,98.7421875
2000,98.7421875
3000,98.7421875
4000,98.7421875
5000,98.7421875
6000,98.7421875
7000,98.7421875
8000,98.7421875
9000,98.7421875
10000,98.7421875
11000,98.7421875
12000,98.7421875
13000,98.7421875
14000,98.7421875
15000,98.7421875
16000,98.7421875
17000,98.7421875
18000,98.7421875
19000,98.7421875
20000,54.296875
21000,145.3046875
22000,181.6171875
23000,217.875
24000,337.2109375
25000,339.4140625
26000,431.78125
27000,395.8359375
28000,395.8359375
29000,395.8359375
30000,440.9140625
31000,440.9140625
32000,440.9140625
33000,440.9140625
34000,440.9140625
35000,440.9140625
36000,440.9140625
37000,440.9140625
38000,440.9140625
39000,440.9140625
40000,440.9140625
41000,440.9140625
42000,440.9140625
43000,440.9140625
44000,440.9140625
45000,440.9140625
46000,440.9140625
47000,440.9140625
48000,440.9140625
49000,440.9140625
50000,440.9140625
