instances,approach_10
0,98.734375
1000,98.7421875
2000,98.7421875
3000,98.7421875
4000,98.7421875
5000,98.7421875
6000,98.7421875
7000,98.7421875
8000,98.7421875
9000,98.7421875
10000,98.7421875
11000,98.7421875
12000,98.7421875
13000,98.7421875
14000,98.7421875
15000,98.7421875
16000,98.7421875
17000,98.7421875
18000,98.7421875
19000,98.7421875
20000,98.7421875
21000,54.296875
22000,145.328125
23000,217.578125
24000,173.4609375
25000,419.9765625
26000,420.0234375
27000,420.0234375
28000,383.8203125
29000,383.8203125
30000,383.8203125
31000,383.8203125
32000,383.8203125
33000,394.5
34000,359.859375
35000,359.859375
36000,359.859375
37000,359.859375
38000,359.859375
39000,359.859375
40000,359.859375
41000,359.859375
42000,359.859375
43000,323.71875
44000,323.71875
45000,323.71875
46000,287.578125
47000,287.578125
48000,332.65625
49000,332.65625
50000,332.65625
