instances,approach_2
0,22.3828125
1000,22.3828125
2000,22.3828125
3000,44.03125
4000,54.765625
5000,54.765625
6000,62.0078125
7000,62.0078125
8000,62.0390625
9000,65.5546875
10000,65.5546875
11000,76.125
12000,69.0
13000,76.21875
14000,76.2421875
15000,76.2734375
16000,83.5390625
17000,83.640625
18000,87.03125
19000,94.296875
20000,94.296875
21000,101.5625
22000,94.328125
23000,94.328125
24000,94.375
25000,108.90625
26000,94.453125
27000,112.453125
28000,103.2421875
29000,112.40625
30000,105.1875
31000,105.1875
32000,119.625
33000,119.6484375
34000,119.6953125
35000,105.2421875
36000,119.7265625
37000,126.9921875
38000,127.0390625
39000,119.7265625
40000,126.9921875
41000,134.3046875
42000,126.9921875
43000,119.7734375
44000,134.2578125
45000,152.25
46000,152.3046875
47000,145.1171875
48000,163.0078125
49000,153.84375
50000,153.84375
