instances,approach_21
0,136.71875
1000,136.5078125
2000,154.53125
3000,177.7265625
4000,308.1953125
5000,372.9765625
6000,390.7890625
7000,390.90625
8000,350.1171875
9000,350.1171875
10000,350.4453125
11000,350.3515625
12000,373.1875
13000,373.09375
14000,374.9453125
15000,374.8984375
16000,374.8515625
17000,374.8515625
18000,374.78125
19000,374.78125
20000,374.78125
21000,374.7578125
22000,374.7578125
23000,374.7578125
24000,373.1875
25000,373.140625
26000,420.1875
27000,397.34375
28000,397.3203125
29000,397.390625
30000,397.34375
31000,397.3203125
32000,397.296875
33000,397.296875
34000,397.3203125
35000,397.3203125
36000,397.296875
37000,397.2734375
38000,397.2734375
39000,397.2734375
40000,397.25
41000,397.3203125
42000,397.296875
43000,397.296875
44000,392.65625
45000,392.65625
46000,392.65625
47000,392.65625
48000,392.65625
49000,392.65625
50000,392.65625
