instances,approach_0
0,33.2890625
1000,36.7265625
2000,36.7265625
3000,44.0
4000,51.2890625
5000,47.5390625
6000,47.5390625
7000,47.59375
8000,62.078125
9000,58.296875
10000,65.5859375
11000,65.6171875
12000,69.109375
13000,76.375
14000,87.0859375
15000,87.0859375
16000,90.59375
17000,97.859375
18000,108.609375
19000,115.875
20000,115.875
21000,126.59375
22000,187.875
23000,187.875
24000,187.875
25000,187.875
26000,187.875
27000,209.34375
28000,238.0234375
29000,245.3359375
30000,252.2734375
31000,259.5625
32000,273.640625
33000,273.6875
34000,267.9296875
35000,275.171875
36000,275.21875
37000,275.21875
38000,269.4609375
39000,269.4609375
40000,269.4609375
41000,269.4609375
42000,262.2265625
43000,262.2265625
44000,262.2265625
45000,269.4453125
46000,269.4453125
47000,269.4453125
48000,269.4453125
49000,269.4453125
50000,269.4453125
