instances,approach_21
0,94.1171875
1000,94.0703125
2000,94.421875
3000,94.328125
4000,94.28125
5000,94.2578125
6000,94.2578125
7000,94.234375
8000,94.2109375
9000,94.2109375
10000,94.2109375
11000,94.2109375
12000,94.1875
13000,94.140625
14000,94.140625
15000,94.140625
16000,94.140625
17000,94.140625
18000,94.140625
19000,49.125
20000,49.125
21000,49.125
22000,49.125
23000,49.125
24000,49.125
25000,49.125
26000,49.125
27000,49.125
28000,49.125
29000,49.125
30000,49.125
31000,49.125
32000,49.125
33000,49.125
34000,49.125
35000,49.125
36000,112.609375
37000,136.8359375
38000,136.7890625
39000,136.7421875
40000,136.7421875
41000,136.7421875
42000,136.71875
43000,136.71875
44000,136.6484375
45000,136.625
46000,136.625
47000,114.0
48000,113.9765625
49000,113.9765625
50000,113.9765625
