instances,approach_0
0,33.2890625
1000,36.7265625
2000,36.7265625
3000,36.7265625
4000,36.7265625
5000,36.7265625
6000,36.7265625
7000,36.7265625
8000,36.7265625
9000,36.78125
10000,44.046875
11000,44.0
12000,44.046875
13000,44.046875
14000,47.484375
15000,47.5390625
16000,54.7578125
17000,54.7578125
18000,54.7578125
19000,47.5390625
20000,54.8046875
21000,54.8046875
22000,54.8046875
23000,58.2421875
24000,58.2421875
25000,58.2421875
26000,58.296875
27000,65.515625
28000,58.296875
29000,65.5625
30000,65.5625
31000,69.0
32000,69.0
33000,69.0546875
34000,69.0546875
35000,76.3203125
36000,76.2734375
37000,76.3203125
38000,79.7578125
39000,79.8125
40000,79.8125
41000,87.03125
42000,87.03125
43000,87.078125
44000,87.078125
45000,90.515625
46000,90.515625
47000,90.515625
48000,90.515625
49000,90.515625
50000,90.515625
