instances,approach_21
0,94.1640625
1000,94.0703125
2000,94.0703125
3000,94.046875
4000,94.046875
5000,94.046875
6000,94.046875
7000,94.046875
8000,94.046875
9000,94.046875
10000,94.046875
11000,94.046875
12000,94.046875
13000,94.046875
14000,94.046875
15000,94.046875
16000,94.046875
17000,94.046875
18000,94.046875
19000,94.046875
20000,94.046875
21000,94.046875
22000,94.046875
23000,94.046875
24000,94.046875
25000,94.046875
26000,94.046875
27000,94.046875
28000,94.046875
29000,94.046875
30000,94.046875
31000,94.046875
32000,94.046875
33000,94.046875
34000,94.046875
35000,94.046875
36000,94.046875
37000,94.046875
38000,94.046875
39000,94.046875
40000,94.046875
41000,94.046875
42000,94.046875
43000,94.046875
44000,94.046875
45000,94.046875
46000,94.046875
47000,94.046875
48000,94.046875
49000,94.046875
50000,94.046875
