instances,approach_10
0,181.8359375
1000,181.8515625
2000,181.8515625
3000,181.8515625
4000,181.8515625
5000,181.8515625
6000,181.8515625
7000,192.4765625
8000,192.4765625
9000,192.4765625
10000,192.4765625
11000,192.4765625
12000,192.4765625
13000,192.4765625
14000,192.4765625
15000,192.4765625
16000,192.4765625
17000,192.4765625
18000,192.4765625
19000,192.4765625
20000,192.4765625
21000,192.4765625
22000,192.4765625
23000,192.4765625
24000,192.4765625
25000,192.4765625
26000,192.4765625
27000,192.4765625
28000,192.4765625
29000,192.4765625
30000,192.4765625
31000,192.4765625
32000,192.4765625
33000,192.4765625
34000,192.4765625
35000,192.4765625
36000,192.4765625
37000,228.46875
38000,192.53125
39000,192.53125
40000,192.53125
41000,192.53125
42000,192.53125
43000,192.53125
44000,192.53125
45000,192.53125
46000,192.53125
47000,192.53125
48000,192.53125
49000,192.53125
50000,192.53125
