instances,approach_3
0,22.3828125
1000,22.3828125
2000,22.3828125
3000,44.03125
4000,51.375
5000,51.375
6000,80.0859375
7000,90.890625
8000,94.3359375
9000,104.96875
10000,97.75
11000,97.75
12000,104.96875
13000,97.75
14000,97.75
15000,111.8125
16000,111.8125
17000,111.8125
18000,111.8125
19000,111.8125
20000,111.8125
21000,111.8125
22000,111.8125
23000,111.8125
24000,111.8125
25000,111.8125
26000,111.8125
27000,111.8125
28000,111.8125
29000,111.8125
30000,111.8125
31000,119.0546875
32000,119.1015625
33000,119.1015625
34000,119.1015625
35000,119.15625
36000,113.4609375
37000,120.6796875
38000,120.6796875
39000,113.4609375
40000,113.4609375
41000,113.4609375
42000,120.6796875
43000,131.4140625
44000,131.4140625
45000,131.4140625
46000,131.4140625
47000,131.4140625
48000,131.4140625
49000,131.4140625
50000,131.4140625
