instances,approach_8
0,135.1015625
1000,135.1015625
2000,135.1015625
3000,135.1015625
4000,135.1015625
5000,145.8984375
6000,145.8984375
7000,145.8984375
8000,145.8984375
9000,145.8984375
10000,145.8984375
11000,145.8984375
12000,145.8984375
13000,145.8984375
14000,145.8984375
15000,145.8984375
16000,181.890625
17000,145.953125
18000,181.921875
19000,181.921875
20000,182.6328125
21000,182.9609375
22000,182.9609375
23000,182.9609375
24000,182.9609375
25000,182.9609375
26000,182.9609375
27000,182.9609375
28000,193.7578125
29000,193.7578125
30000,193.7578125
31000,193.7578125
32000,193.7578125
33000,193.7578125
34000,193.7578125
35000,193.7578125
36000,193.7578125
37000,193.8125
38000,229.78125
39000,193.8671875
40000,230.0703125
41000,229.8359375
42000,266.0390625
43000,230.0703125
44000,229.8359375
45000,313.484375
46000,230.546875
47000,230.546875
48000,230.546875
49000,277.28125
50000,277.28125
