instances,approach_22
0,54.2109375
1000,54.2109375
2000,128.34375
3000,128.34375
4000,110.2578125
5000,110.2578125
6000,119.9609375
7000,137.9609375
8000,119.9609375
9000,120.015625
10000,138.1328125
11000,120.015625
12000,138.015625
13000,138.1328125
14000,156.015625
15000,147.8359375
16000,147.8359375
17000,147.8359375
18000,165.8359375
19000,165.8359375
20000,183.9765625
21000,165.9453125
22000,202.0625
23000,230.109375
24000,291.8671875
25000,184.03125
26000,227.46875
27000,184.0625
28000,184.0625
29000,184.0625
30000,184.0625
31000,184.0625
32000,184.0625
33000,211.9296875
34000,211.9296875
35000,239.6015625
36000,254.5546875
37000,277.171875
38000,277.2890625
39000,277.2890625
40000,277.2890625
41000,277.2890625
42000,277.2890625
43000,277.2890625
44000,277.2890625
45000,277.2890625
46000,277.2890625
47000,277.2890625
48000,277.2890625
49000,277.2890625
50000,277.2890625
