instances,approach_0
0,98.734375
1000,98.734375
2000,98.734375
3000,98.734375
4000,98.7890625
5000,134.9921875
6000,145.640625
7000,145.640625
8000,145.6953125
9000,181.6640625
10000,181.8984375
11000,181.8984375
12000,192.546875
13000,192.546875
14000,192.546875
15000,228.5390625
16000,192.6015625
17000,192.6015625
18000,228.8046875
19000,239.453125
20000,275.6796875
21000,275.6796875
22000,286.3828125
23000,358.84375
24000,441.9453125
25000,477.9375
26000,514.1640625
27000,535.7578125
28000,535.7578125
29000,546.390625
30000,582.6171875
31000,582.6171875
32000,593.3125
33000,629.5390625
34000,639.96875
35000,640.203125
36000,686.9921875
37000,686.9921875
38000,686.9921875
39000,686.9921875
40000,733.78125
41000,733.78125
42000,733.78125
43000,733.78125
44000,733.78125
45000,733.78125
46000,733.78125
47000,733.78125
48000,733.78125
49000,733.78125
50000,733.78125
