instances,approach_3
0,7.140625
1000,228.5
2000,275.671875
3000,275.671875
4000,275.671875
5000,275.671875
6000,275.671875
7000,275.671875
8000,275.671875
9000,275.671875
10000,275.671875
11000,275.671875
12000,275.671875
13000,286.296875
14000,286.296875
15000,286.296875
16000,286.296875
17000,286.296875
18000,286.296875
19000,286.296875
20000,286.296875
21000,286.296875
22000,286.296875
23000,358.4921875
24000,358.8125
25000,452.359375
26000,488.796875
27000,488.796875
28000,488.796875
29000,488.796875
30000,452.59375
31000,452.59375
32000,452.59375
33000,452.59375
34000,452.59375
35000,452.59375
36000,452.59375
37000,452.59375
38000,452.59375
39000,452.59375
40000,452.59375
41000,452.59375
42000,452.59375
43000,452.59375
44000,452.59375
45000,452.59375
46000,452.59375
47000,452.59375
48000,452.59375
49000,452.59375
50000,452.59375
